GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,NAME_M,AJWMM001
"G0201220","2014-2018",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",58220,"Kenai Peninsula Borough, Alaska",0
"G0201300","2014-2018",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",13804,"Ketchikan Gateway Borough, Alaska",0
"G0201500","2014-2018",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",13649,"Kodiak Island Borough, Alaska",0
"G0201580","2014-2018",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusilvak Census Area, Alaska",8198,"Kusilvak Census Area, Alaska",0
"G0201640","2014-2018",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",1375,"Lake and Peninsula Borough, Alaska",380
"G0201700","2014-2018",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",103464,"Matanuska-Susitna Borough, Alaska",0
"G0201800","2014-2018",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",9925,"Nome Census Area, Alaska",0
"G0201850","2014-2018",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",9797,"North Slope Borough, Alaska",0
"G0201880","2014-2018",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",7734,"Northwest Arctic Borough, Alaska",0
"G0201950","2014-2018",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Borough, Alaska",3255,"Petersburg Borough, Alaska",0
"G0201980","2014-2018",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",6474,"Prince of Wales-Hyder Census Area, Alaska",0
"G0202200","2014-2018",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",8738,"Sitka City and Borough, Alaska",0
"G0202300","2014-2018",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",1061,"Skagway Municipality, Alaska",123
"G0202400","2014-2018",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",6876,"Southeast Fairbanks Census Area, Alaska",0
"G0202610","2014-2018",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",9301,"Valdez-Cordova Census Area, Alaska",0
"G0202750","2014-2018",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",2484,"Wrangell City and Borough, Alaska",0
"G0202820","2014-2018",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",689,"Yakutat City and Borough, Alaska",79
"G0202900","2014-2018",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",5415,"Yukon-Koyukuk Census Area, Alaska",0
"G0400010","2014-2018",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",71522,"Apache County, Arizona",0
"G0400030","2014-2018",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",126279,"Cochise County, Arizona",0
"G0400050","2014-2018",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",140217,"Coconino County, Arizona",0
"G0400070","2014-2018",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",53400,"Gila County, Arizona",0
"G0400090","2014-2018",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",37879,"Graham County, Arizona",0
"G0400110","2014-2018",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",9504,"Greenlee County, Arizona",0
"G0400120","2014-2018",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",20701,"La Paz County, Arizona",0
"G0400130","2014-2018",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",4253913,"Maricopa County, Arizona",0
"G0400150","2014-2018",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",206064,"Mohave County, Arizona",0
"G0400170","2014-2018",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",108705,"Navajo County, Arizona",0
"G0400190","2014-2018",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pima County, Arizona",1019722,"Pima County, Arizona",0
"G0400210","2014-2018",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pinal County, Arizona",419721,"Pinal County, Arizona",0
"G0400230","2014-2018",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",46584,"Santa Cruz County, Arizona",0
"G0400250","2014-2018",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yavapai County, Arizona",224645,"Yavapai County, Arizona",0
"G0400270","2014-2018",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Arizona",207829,"Yuma County, Arizona",0
"G0500010","2014-2018",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas County, Arkansas",18124,"Arkansas County, Arkansas",0
"G0500030","2014-2018",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley County, Arkansas",20537,"Ashley County, Arkansas",0
"G0500050","2014-2018",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baxter County, Arkansas",41219,"Baxter County, Arkansas",0
"G0500070","2014-2018",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Arkansas",258980,"Benton County, Arkansas",0
"G0500090","2014-2018",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Arkansas",37288,"Boone County, Arkansas",0
"G0500110","2014-2018",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradley County, Arkansas",10948,"Bradley County, Arkansas",0
"G0500130","2014-2018",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Arkansas",5202,"Calhoun County, Arkansas",0
